3;203;36;61;36;1
4;203;36;63;36;2
5;203;36;65;36;3
6;106;36;67;36;5
7;106;67;86;36;7
8;106;36;86;36;7
9;201;86;87;36;7
10;106;86;158;36;9
11;106;36;158;36;9
12;106;86;159;36;12
13;106;36;159;36;12
14;106;86;160;36;21
15;106;36;160;36;21
16;106;86;161;36;28
17;106;36;161;36;28
18;106;86;162;36;31
19;106;36;162;36;31
20;106;86;163;36;45
21;106;36;163;36;45
22;106;86;164;36;53
23;106;36;164;36;53
24;106;86;165;36;60
25;106;36;165;36;60
26;106;86;166;36;67
27;106;36;166;36;67
28;106;86;167;36;75
29;106;36;167;36;75
30;106;86;168;36;84
31;106;36;168;36;84
32;106;86;169;36;90
33;106;36;169;36;90
34;203;37;59;37;1
35;203;37;61;37;2
36;203;37;68;37;3
37;203;37;70;37;4
38;203;37;71;37;5
39;203;37;73;37;6
40;106;37;65;37;8
41;106;65;88;37;10
42;106;37;88;37;10
43;106;88;170;37;10
44;106;37;170;37;10
45;201;88;89;37;10
46;203;39;59;39;1
47;203;39;61;39;2
48;203;39;68;39;3
49;203;39;70;39;4
50;203;39;63;39;5
51;106;39;65;39;7
52;106;65;91;39;9
53;106;39;91;39;9
54;106;91;171;39;9
55;106;39;171;39;9
56;201;91;89;39;9
57;106;91;172;39;23
58;106;39;172;39;23
59;106;91;173;39;31
60;106;39;173;39;31
61;106;91;174;39;39
62;106;39;174;39;39
63;106;91;175;39;47
64;106;39;175;39;47
65;204;175;176;39;54
66;106;91;177;39;58
67;106;39;177;39;58
68;106;91;178;39;68
69;106;39;178;39;68
70;106;65;93;39;79
71;106;39;93;39;79
72;106;93;179;39;104
73;106;39;179;39;104
74;204;179;180;39;115
75;204;179;181;39;116
76;204;179;182;39;117
77;204;179;183;39;118
78;204;179;184;39;119
79;204;179;185;39;120
80;204;179;186;39;121
81;204;179;187;39;122
82;204;179;188;39;123
83;204;179;189;39;124
84;106;93;190;39;79
85;106;39;190;39;79
86;201;93;89;39;79
87;106;93;191;39;81
88;106;39;191;39;81
89;106;93;180;39;81
90;106;39;180;39;81
91;106;93;192;39;82
92;106;39;192;39;82
93;106;93;181;39;82
